risk_rank,layer,head,count,mean,max,sum
98,3,5,8.0,0.06845300644636149,0.0912871360778808,0.5476240515708919
99,10,11,6.0,0.09104455510775243,0.1246440410614013,0.5462673306465146
100,16,5,5.0,0.10077719688415525,0.1792868375778198,0.5038859844207763
101,32,17,4.0,0.12058676779270167,0.1507618427276611,0.48234707117080666
102,2,18,15.0,0.03188548485438026,0.0945032238960266,0.4782822728157039
103,36,20,6.0,0.07747111717859899,0.1309431195259094,0.4648267030715939
104,35,0,4.0,0.10958620905876154,0.1958329081535339,0.43834483623504616
105,11,9,5.0,0.08321303129196164,0.0968149900436401,0.4160651564598082
106,20,16,24.0,0.017312784989674833,0.0289379358291625,0.415506839752196
107,6,7,5.0,0.08166477680206294,0.132519781589508,0.4083238840103147
108,49,16,1.0,0.402415931224823,0.402415931224823,0.402415931224823
109,3,21,7.0,0.056796448571341356,0.0958869457244873,0.3975751399993895
110,45,23,6.0,0.06571680307388302,0.1376824378967285,0.3943008184432981
111,4,8,7.0,0.05561144011361253,0.0803164839744567,0.3892800807952877
112,30,20,10.0,0.038738119602203316,0.0552591085433959,0.3873811960220332
113,25,11,3.0,0.12474342187245684,0.1729781627655029,0.3742302656173705
114,25,4,2.0,0.18446332216262815,0.2123256921768188,0.3689266443252563
115,15,8,6.0,0.06123876571655266,0.0711475610733032,0.36743259429931596
116,7,16,33.0,0.011100537849195034,0.020440399646759,0.3663177490234361
117,53,20,20.0,0.01777118444442744,0.0229643583297729,0.3554236888885488
118,47,13,25.0,0.014128723144531204,0.0164054632186889,0.3532180786132801
119,1,13,56.0,0.006307101675442235,0.007297396659851,0.3531976938247652
120,2,16,28.0,0.012478215353829475,0.0207741260528564,0.3493900299072253
121,19,23,8.0,0.0433094054460525,0.1043733358383178,0.34647524356842
122,21,14,2.0,0.17219752073287958,0.1901962757110595,0.34439504146575917
123,46,23,62.0,0.0053835280479922806,0.0078821182250976,0.3337787389755214
124,0,14,59.0,0.005604624748229931,0.0099105834960937,0.3306728601455659
125,51,3,53.0,0.006191100714341596,0.0100620985031127,0.3281283378601046
126,38,17,1.0,0.3251588940620422,0.3251588940620422,0.3251588940620422
127,6,0,6.0,0.05353199442227677,0.1042609810829162,0.3211919665336606
128,57,22,57.0,0.0055749949656034295,0.0092543363571167,0.3177747130393955
129,54,17,22.0,0.014414202083240806,0.0185747146606445,0.3171124458312977
130,23,2,1.0,0.3136578202247619,0.3136578202247619,0.3136578202247619
